ID,MAINTAINER,REPO,CONTRIBUTIONS,NAME
30875,github@lilyball,https://github.com/rust-lang/rust,238,core-nightly
30875,github@eholk,https://github.com/rust-lang/rust,251,core-nightly
30875,github@dotdash,https://github.com/rust-lang/rust,255,core-nightly
30875,github@aturon,https://github.com/rust-lang/rust,269,core-nightly
30875,github@QuietMisdreavus,https://github.com/rust-lang/rust,276,core-nightly
30875,github@lkuper,https://github.com/rust-lang/rust,287,core-nightly
30875,github@tshepang,https://github.com/rust-lang/rust,288,core-nightly
30875,github@nnethercote,https://github.com/rust-lang/rust,290,core-nightly
30875,github@jbclements,https://github.com/rust-lang/rust,309,core-nightly
30875,github@ljedrz,https://github.com/rust-lang/rust,311,core-nightly
30875,github@Centril,https://github.com/rust-lang/rust,314,core-nightly
30875,github@nagisa,https://github.com/rust-lang/rust,317,core-nightly
30875,github@davidtwco,https://github.com/rust-lang/rust,322,core-nightly
30875,github@cmr,https://github.com/rust-lang/rust,335,core-nightly
30875,github@luqmana,https://github.com/rust-lang/rust,336,core-nightly
30875,github@bblum,https://github.com/rust-lang/rust,352,core-nightly
30875,github@sfackler,https://github.com/rust-lang/rust,374,core-nightly
30875,github@Manishearth,https://github.com/rust-lang/rust,421,core-nightly
30875,github@SimonSapin,https://github.com/rust-lang/rust,425,core-nightly
30875,github@msullivan,https://github.com/rust-lang/rust,428,core-nightly
30875,github@frewsxcv,https://github.com/rust-lang/rust,441,core-nightly
30875,github@solson,https://github.com/rust-lang/rust,470,core-nightly
30875,github@arielb1,https://github.com/rust-lang/rust,493,core-nightly
30875,github@Zoxc,https://github.com/rust-lang/rust,508,core-nightly
30875,github@Mark-Simulacrum,https://github.com/rust-lang/rust,531,core-nightly
30875,github@nrc,https://github.com/rust-lang/rust,676,core-nightly
30875,github@erickt,https://github.com/rust-lang/rust,706,core-nightly
30875,github@japaric,https://github.com/rust-lang/rust,722,core-nightly
30875,github@thestinger,https://github.com/rust-lang/rust,761,core-nightly
30875,github@jseyfried,https://github.com/rust-lang/rust,793,core-nightly
30875,github@estebank,https://github.com/rust-lang/rust,805,core-nightly
30875,github@huonw,https://github.com/rust-lang/rust,809,core-nightly
30875,github@varkor,https://github.com/rust-lang/rust,893,core-nightly
30875,github@petrochenkov,https://github.com/rust-lang/rust,929,core-nightly
30875,github@steveklabnik,https://github.com/rust-lang/rust,940,core-nightly
30875,github@michaelwoerister,https://github.com/rust-lang/rust,960,core-nightly
30875,github@marijnh,https://github.com/rust-lang/rust,1007,core-nightly
30875,github@RalfJung,https://github.com/rust-lang/rust,1039,core-nightly
30875,github@pnkfelix,https://github.com/rust-lang/rust,1108,core-nightly
30875,github@GuillaumeGomez,https://github.com/rust-lang/rust,1279,core-nightly
30875,github@eddyb,https://github.com/rust-lang/rust,1299,core-nightly
30875,github@catamorphism,https://github.com/rust-lang/rust,1384,core-nightly
30875,github@oli-obk,https://github.com/rust-lang/rust,1763,core-nightly
30875,github@pcwalton,https://github.com/rust-lang/rust,2795,core-nightly
