FROM_ID,TO_ID
30860,31342
30860,1109263
30861,30865
30861,30862
30861,30857
30861,31465
30861,31140
30862,30857
30862,31382
30863,31342
30864,30857
30864,31326
30864,31382
30865,31382
30865,30857
30866,30865
30866,30837
30866,30863
30866,30857
30866,31465
30866,653520
30866,779179
30867,30865
30867,30857
30867,31382
30868,31457
30871,31505
30871,31465
30871,31227
30871,1109263
30871,1610741
30871,31342
30871,922107
30871,31384
30876,31342
30876,428702
30878,31521
30878,30770
30878,31533
30878,31225
30878,31115
30878,685973
30878,31105
30878,1595835
30878,31094
30878,2181387
30878,1051314
30878,741819
30880,31115
30884,31295
30884,31296
30884,30821
30887,31342
30890,30942
30890,1647361
30890,31342
30890,653520
30890,1638796
30890,31149
30890,1570336
30890,31384
30890,923725
30890,2166119
30890,31245
30890,2168369
30890,984703
30890,2396443
30890,752427
30890,1553966
30890,2353652
30890,31461
30890,702557
30890,925980
30892,31115
30894,31342
30894,31311
30894,428781
30894,822086
30894,31384
30894,1629953
30894,2292590
30894,2216325
30896,31263
30896,31229
30896,31129
30896,31115
30896,31000
30896,31533
30896,2252655
30896,30827
30896,30896
30896,3251508
30897,31505
30897,30896
30897,31140
30897,31229
30897,31115
30897,164383
30897,31164
30897,1817946
30897,31533
30897,1054359
30897,2315146
30897,31094
30897,2574849
30899,31115
30900,31465
30904,812548
30906,428702
30907,31276
30907,31298
30907,30909
30907,31465
30907,31311
30907,31297
30907,31312
30907,435056
30907,428781
30907,753323
30907,31212
30909,31465
30909,31513
30909,31276
30909,31342
30909,30838
30909,922107
30910,31212
30910,30793
30910,31140
30910,428702
30910,31342
30911,31160
30913,31022
30913,30775
30914,31212
30914,1042219
30914,993050
30914,1086251
30914,31296
30914,994362
30914,31295
30914,783030
30914,31384
30914,1559116
30914,1369785
30914,3149632
30916,31033
30920,31311
30920,31342
30920,31115
30920,432486
30920,31105
30920,31384
30920,1629953
30921,30920
30921,31342
30921,1629953
30921,31384
30922,31426
30922,30924
30922,31109
30923,1846519
30923,1424159
30923,31311
30923,653520
30923,31105
30923,686175
30923,2449131
30924,31109
30924,30901
30924,653520
30924,30902
30925,428702
30926,30927
30926,30743
30926,31342
30926,30828
30927,31000
30930,31212
30932,31465
30932,30844
30933,31513
30933,804997
30933,804996
30933,778548
30935,30942
30935,31342
30935,30838
30935,31465
30935,428702
30935,31105
30935,941391
30935,1109263
30935,2116269
30936,31384
30936,1629953
30942,30946
30942,30945
30942,30943
30942,30947
30942,30944
30942,31012
30943,30948
30944,30948
