ID,NAME,PLATFORM
125541,certpoleng-sys,Cargo
125542,cfgmgr32-sys,Cargo
125543,clfsw32-sys,Cargo
125544,clfsmgmt-sys,Cargo
125545,clusapi-sys,Cargo
125546,comctl32-sys,Cargo
125547,comdlg32-sys,Cargo
125548,comppkgsup-sys,Cargo
125549,compstui-sys,Cargo
125550,comsvcs-sys,Cargo
125551,correngine-sys,Cargo
125552,corguids-sys,Cargo
125553,credui-sys,Cargo
125554,crypt32-sys,Cargo
125555,cryptdll-sys,Cargo
125556,cryptnet-sys,Cargo
125557,cryptxml-sys,Cargo
125558,cryptui-sys,Cargo
125559,cscapi-sys,Cargo
125560,cscdll-sys,Cargo
125561,d2d1-sys,Cargo
125562,d3d10_1-sys,Cargo
125563,d3d10-sys,Cargo
125564,d3d11-sys,Cargo
125565,d3d9-sys,Cargo
125566,d3dcompiler-sys,Cargo
125567,d3dcsxd-sys,Cargo
125568,d3dcsx-sys,Cargo
125569,davclnt-sys,Cargo
125570,dbghelp-sys,Cargo
125571,dbgeng-sys,Cargo
125572,ddraw-sys,Cargo
125573,dciman32-sys,Cargo
125574,dcomp-sys,Cargo
125575,dflayout-sys,Cargo
125576,devenum-sys,Cargo
125577,deviceaccess-sys,Cargo
125578,devmgr-sys,Cargo
125579,dhcpcsvc-sys,Cargo
125580,dhcpcsvc6-sys,Cargo
125581,dhcpsapi-sys,Cargo
125582,diffusion,Cargo
125583,difxapi-sys,Cargo
125584,dinput8-sys,Cargo
125585,dmoguids-sys,Cargo
125586,dloadhelper-sys,Cargo
125587,dnsapi-sys,Cargo
125588,dnsperf-sys,Cargo
125589,dnscrcli-sys,Cargo
125590,dnslib-sys,Cargo
125591,dnsrpc-sys,Cargo
125592,dnsrslvr-sys,Cargo
125593,dpx-sys,Cargo
125594,drtprov-sys,Cargo
125595,drt-sys,Cargo
125596,drttransport-sys,Cargo
125597,dsound-sys,Cargo
125598,dsprop-sys,Cargo
125599,dststlog-sys,Cargo
125600,dssec-sys,Cargo
125601,dsuiext-sys,Cargo
125602,dtchelp-sys,Cargo
125603,dwrite-sys,Cargo
125604,dwmapi-sys,Cargo
125605,dxgi-sys,Cargo
125606,dxguid-sys,Cargo
125607,dxva2-sys,Cargo
125608,dxtmsft-sys,Cargo
125609,dxtrans-sys,Cargo
125610,eappprxy-sys,Cargo
125611,eappcfg-sys,Cargo
